"Year","Birth order","Age class of mother","Age class of father","Live births"
"2000","First child","40-44 years","Less than 20 years",0
"2000","First child","40-44 years","20-24 years",2
"2000","First child","40-44 years","25-29 years",16
"2000","First child","40-44 years","30-34 years",87
"2000","First child","40-44 years","35-39 years",150
"2000","First child","40-44 years","40-44 years",213
"2000","First child","40-44 years","45-49 years",95
"2000","First child","40-44 years","50-59 years",36
"2000","First child","40-44 years","60-69 years",6
"2000","First child","40-44 years","70 years or more",1
"2000","First child","40-44 years","Unknown",0
"2000","First child","45-49 years","Less than 20 years",0
"2000","First child","45-49 years","20-24 years",0
"2000","First child","45-49 years","25-29 years",0
"2000","First child","45-49 years","30-34 years",4
"2000","First child","45-49 years","35-39 years",5
"2000","First child","45-49 years","40-44 years",7
"2000","First child","45-49 years","45-49 years",7
"2000","First child","45-49 years","50-59 years",3
"2000","First child","45-49 years","60-69 years",0
"2000","First child","45-49 years","70 years or more",0
"2000","First child","45-49 years","Unknown",0
"2000","First child","50 years or more","Less than 20 years",0
"2000","First child","50 years or more","20-24 years",0
"2000","First child","50 years or more","25-29 years",0
"2000","First child","50 years or more","30-34 years",1
"2000","First child","50 years or more","35-39 years",0
"2000","First child","50 years or more","40-44 years",0
"2000","First child","50 years or more","45-49 years",0
"2000","First child","50 years or more","50-59 years",0
"2000","First child","50 years or more","60-69 years",0
"2000","First child","50 years or more","70 years or more",0
"2000","First child","50 years or more","Unknown",0
"2000","Second child","Less than 20 years","Less than 20 years",0
"2000","Second child","Less than 20 years","20-24 years",10
"2000","Second child","Less than 20 years","25-29 years",17
"2000","Second child","Less than 20 years","30-34 years",4
"2000","Second child","Less than 20 years","35-39 years",1
"2000","Second child","Less than 20 years","40-44 years",0
"2000","Second child","Less than 20 years","45-49 years",0
"2000","Second child","Less than 20 years","50-59 years",0
"2000","Second child","Less than 20 years","60-69 years",0
"2000","Second child","Less than 20 years","70 years or more",0
"2000","Second child","Less than 20 years","Unknown",0
"2000","Second child","20-24 years","Less than 20 years",1
"2000","Second child","20-24 years","20-24 years",377
"2000","Second child","20-24 years","25-29 years",881
"2000","Second child","20-24 years","30-34 years",406
"2000","Second child","20-24 years","35-39 years",93
"2000","Second child","20-24 years","40-44 years",41
"2000","Second child","20-24 years","45-49 years",3
"2000","Second child","20-24 years","50-59 years",0
"2000","Second child","20-24 years","60-69 years",0
"2000","Second child","20-24 years","70 years or more",0
"2000","Second child","20-24 years","Unknown",0
"2000","Second child","25-29 years","Less than 20 years",0
"2000","Second child","25-29 years","20-24 years",137
"2000","Second child","25-29 years","25-29 years",2314
"2000","Second child","25-29 years","30-34 years",3532
"2000","Second child","25-29 years","35-39 years",1089
"2000","Second child","25-29 years","40-44 years",248
"2000","Second child","25-29 years","45-49 years",62
"2000","Second child","25-29 years","50-59 years",21
"2000","Second child","25-29 years","60-69 years",1
"2000","Second child","25-29 years","70 years or more",0
"2000","Second child","25-29 years","Unknown",0
"2000","Second child","30-34 years","Less than 20 years",0
"2000","Second child","30-34 years","20-24 years",10
"2000","Second child","30-34 years","25-29 years",690
"2000","Second child","30-34 years","30-34 years",5728
"2000","Second child","30-34 years","35-39 years",4105
"2000","Second child","30-34 years","40-44 years",812
"2000","Second child","30-34 years","45-49 years",178
"2000","Second child","30-34 years","50-59 years",73
"2000","Second child","30-34 years","60-69 years",8
"2000","Second child","30-34 years","70 years or more",0
"2000","Second child","30-34 years","Unknown",0
"2000","Second child","35-39 years","Less than 20 years",0
"2000","Second child","35-39 years","20-24 years",1
"2000","Second child","35-39 years","25-29 years",89
"2000","Second child","35-39 years","30-34 years",1015
"2000","Second child","35-39 years","35-39 years",2516
"2000","Second child","35-39 years","40-44 years",1060
"2000","Second child","35-39 years","45-49 years",239
"2000","Second child","35-39 years","50-59 years",87
"2000","Second child","35-39 years","60-69 years",12
"2000","Second child","35-39 years","70 years or more",1
"2000","Second child","35-39 years","Unknown",0
"2000","Second child","40-44 years","Less than 20 years",0
"2000","Second child","40-44 years","20-24 years",0
"2000","Second child","40-44 years","25-29 years",13
"2000","Second child","40-44 years","30-34 years",61
"2000","Second child","40-44 years","35-39 years",204
"2000","Second child","40-44 years","40-44 years",285
"2000","Second child","40-44 years","45-49 years",97
"2000","Second child","40-44 years","50-59 years",40
"2000","Second child","40-44 years","60-69 years",0
"2000","Second child","40-44 years","70 years or more",0
"2000","Second child","40-44 years","Unknown",0
"2000","Second child","45-49 years","Less than 20 years",0
"2000","Second child","45-49 years","20-24 years",0
"2000","Second child","45-49 years","25-29 years",0
"2000","Second child","45-49 years","30-34 years",1
"2000","Second child","45-49 years","35-39 years",4
"2000","Second child","45-49 years","40-44 years",6
"2000","Second child","45-49 years","45-49 years",7
"2000","Second child","45-49 years","50-59 years",5
"2000","Second child","45-49 years","60-69 years",0
"2000","Second child","45-49 years","70 years or more",0
"2000","Second child","45-49 years","Unknown",0
"2000","Second child","50 years or more","Less than 20 years",0
"2000","Second child","50 years or more","20-24 years",0
"2000","Second child","50 years or more","25-29 years",0
"2000","Second child","50 years or more","30-34 years",0
"2000","Second child","50 years or more","35-39 years",0
"2000","Second child","50 years or more","40-44 years",0
"2000","Second child","50 years or more","45-49 years",0
"2000","Second child","50 years or more","50-59 years",1
"2000","Second child","50 years or more","60-69 years",0
"2000","Second child","50 years or more","70 years or more",0
"2000","Second child","50 years or more","Unknown",0
"2000","Third child","Less than 20 years","Less than 20 years",0
"2000","Third child","Less than 20 years","20-24 years",0
"2000","Third child","Less than 20 years","25-29 years",1
"2000","Third child","Less than 20 years","30-34 years",0
"2000","Third child","Less than 20 years","35-39 years",0
"2000","Third child","Less than 20 years","40-44 years",0
"2000","Third child","Less than 20 years","45-49 years",0
"2000","Third child","Less than 20 years","50-59 years",0
"2000","Third child","Less than 20 years","60-69 years",0
"2000","Third child","Less than 20 years","70 years or more",0
"2000","Third child","Less than 20 years","Unknown",0
"2000","Third child","20-24 years","Less than 20 years",0
"2000","Third child","20-24 years","20-24 years",35
"2000","Third child","20-24 years","25-29 years",106
"2000","Third child","20-24 years","30-34 years",64
"2000","Third child","20-24 years","35-39 years",19
"2000","Third child","20-24 years","40-44 years",6
"2000","Third child","20-24 years","45-49 years",4
"2000","Third child","20-24 years","50-59 years",0
"2000","Third child","20-24 years","60-69 years",1
"2000","Third child","20-24 years","70 years or more",0
"2000","Third child","20-24 years","Unknown",0
"2000","Third child","25-29 years","Less than 20 years",0
"2000","Third child","25-29 years","20-24 years",13
"2000","Third child","25-29 years","25-29 years",514
"2000","Third child","25-29 years","30-34 years",954
"2000","Third child","25-29 years","35-39 years",356
"2000","Third child","25-29 years","40-44 years",79
"2000","Third child","25-29 years","45-49 years",10
"2000","Third child","25-29 years","50-59 years",8
"2000","Third child","25-29 years","60-69 years",0
"2000","Third child","25-29 years","70 years or more",0
"2000","Third child","25-29 years","Unknown",0
"2000","Third child","30-34 years","Less than 20 years",0
"2000","Third child","30-34 years","20-24 years",2
"2000","Third child","30-34 years","25-29 years",167
"2000","Third child","30-34 years","30-34 years",1796
"2000","Third child","30-34 years","35-39 years",1678
"2000","Third child","30-34 years","40-44 years",377
"2000","Third child","30-34 years","45-49 years",61
"2000","Third child","30-34 years","50-59 years",17
"2000","Third child","30-34 years","60-69 years",2
"2000","Third child","30-34 years","70 years or more",0
"2000","Third child","30-34 years","Unknown",0
"2000","Third child","35-39 years","Less than 20 years",0
"2000","Third child","35-39 years","20-24 years",0
"2000","Third child","35-39 years","25-29 years",17
"2000","Third child","35-39 years","30-34 years",290
"2000","Third child","35-39 years","35-39 years",1264
"2000","Third child","35-39 years","40-44 years",637
"2000","Third child","35-39 years","45-49 years",117
"2000","Third child","35-39 years","50-59 years",37
"2000","Third child","35-39 years","60-69 years",1
"2000","Third child","35-39 years","70 years or more",0
"2000","Third child","35-39 years","Unknown",0
"2000","Third child","40-44 years","Less than 20 years",0
"2000","Third child","40-44 years","20-24 years",0
"2000","Third child","40-44 years","25-29 years",2
"2000","Third child","40-44 years","30-34 years",17
"2000","Third child","40-44 years","35-39 years",74
"2000","Third child","40-44 years","40-44 years",139
"2000","Third child","40-44 years","45-49 years",52
"2000","Third child","40-44 years","50-59 years",16
"2000","Third child","40-44 years","60-69 years",0
"2000","Third child","40-44 years","70 years or more",0
"2000","Third child","40-44 years","Unknown",0
"2000","Third child","45-49 years","Less than 20 years",0
"2000","Third child","45-49 years","20-24 years",0
"2000","Third child","45-49 years","25-29 years",0
"2000","Third child","45-49 years","30-34 years",0
"2000","Third child","45-49 years","35-39 years",1
"2000","Third child","45-49 years","40-44 years",3
"2000","Third child","45-49 years","45-49 years",5
"2000","Third child","45-49 years","50-59 years",1
"2000","Third child","45-49 years","60-69 years",0
"2000","Third child","45-49 years","70 years or more",0
"2000","Third child","45-49 years","Unknown",0
"2000","Third child","50 years or more","Less than 20 years",0
"2000","Third child","50 years or more","20-24 years",0
"2000","Third child","50 years or more","25-29 years",0
"2000","Third child","50 years or more","30-34 years",0
"2000","Third child","50 years or more","35-39 years",0
"2000","Third child","50 years or more","40-44 years",0
"2000","Third child","50 years or more","45-49 years",0
"2000","Third child","50 years or more","50-59 years",0
"2000","Third child","50 years or more","60-69 years",0
"2000","Third child","50 years or more","70 years or more",0
"2000","Third child","50 years or more","Unknown",0
"2000","Fourth child or more","Less than 20 years","Less than 20 years",0
"2000","Fourth child or more","Less than 20 years","20-24 years",0
"2000","Fourth child or more","Less than 20 years","25-29 years",0
"2000","Fourth child or more","Less than 20 years","30-34 years",0
"2000","Fourth child or more","Less than 20 years","35-39 years",0
"2000","Fourth child or more","Less than 20 years","40-44 years",0
"2000","Fourth child or more","Less than 20 years","45-49 years",0
"2000","Fourth child or more","Less than 20 years","50-59 years",0
"2000","Fourth child or more","Less than 20 years","60-69 years",0
"2000","Fourth child or more","Less than 20 years","70 years or more",0
"2000","Fourth child or more","Less than 20 years","Unknown",0
"2000","Fourth child or more","20-24 years","Less than 20 years",0
"2000","Fourth child or more","20-24 years","20-24 years",3
"2000","Fourth child or more","20-24 years","25-29 years",10
"2000","Fourth child or more","20-24 years","30-34 years",7
"2000","Fourth child or more","20-24 years","35-39 years",1
"2000","Fourth child or more","20-24 years","40-44 years",2
"2000","Fourth child or more","20-24 years","45-49 years",0
"2000","Fourth child or more","20-24 years","50-59 years",0
"2000","Fourth child or more","20-24 years","60-69 years",0
"2000","Fourth child or more","20-24 years","70 years or more",0
"2000","Fourth child or more","20-24 years","Unknown",0
"2000","Fourth child or more","25-29 years","Less than 20 years",0
"2000","Fourth child or more","25-29 years","20-24 years",2
"2000","Fourth child or more","25-29 years","25-29 years",64
"2000","Fourth child or more","25-29 years","30-34 years",210
"2000","Fourth child or more","25-29 years","35-39 years",96
"2000","Fourth child or more","25-29 years","40-44 years",18
"2000","Fourth child or more","25-29 years","45-49 years",5
"2000","Fourth child or more","25-29 years","50-59 years",1
"2000","Fourth child or more","25-29 years","60-69 years",0
"2000","Fourth child or more","25-29 years","70 years or more",0
"2000","Fourth child or more","25-29 years","Unknown",0
"2000","Fourth child or more","30-34 years","Less than 20 years",0
"2000","Fourth child or more","30-34 years","20-24 years",0
"2000","Fourth child or more","30-34 years","25-29 years",20
"2000","Fourth child or more","30-34 years","30-34 years",444
"2000","Fourth child or more","30-34 years","35-39 years",614
"2000","Fourth child or more","30-34 years","40-44 years",169
"2000","Fourth child or more","30-34 years","45-49 years",28
"2000","Fourth child or more","30-34 years","50-59 years",7
"2000","Fourth child or more","30-34 years","60-69 years",0
"2000","Fourth child or more","30-34 years","70 years or more",0
"2000","Fourth child or more","30-34 years","Unknown",0
"2000","Fourth child or more","35-39 years","Less than 20 years",0
"2000","Fourth child or more","35-39 years","20-24 years",0
"2000","Fourth child or more","35-39 years","25-29 years",1
"2000","Fourth child or more","35-39 years","30-34 years",97
"2000","Fourth child or more","35-39 years","35-39 years",597
"2000","Fourth child or more","35-39 years","40-44 years",378
"2000","Fourth child or more","35-39 years","45-49 years",75
"2000","Fourth child or more","35-39 years","50-59 years",21
"2000","Fourth child or more","35-39 years","60-69 years",1
"2000","Fourth child or more","35-39 years","70 years or more",0
"2000","Fourth child or more","35-39 years","Unknown",0
"2000","Fourth child or more","40-44 years","Less than 20 years",0
"2000","Fourth child or more","40-44 years","20-24 years",0
"2000","Fourth child or more","40-44 years","25-29 years",1
"2000","Fourth child or more","40-44 years","30-34 years",4
"2000","Fourth child or more","40-44 years","35-39 years",34
"2000","Fourth child or more","40-44 years","40-44 years",142
"2000","Fourth child or more","40-44 years","45-49 years",70
"2000","Fourth child or more","40-44 years","50-59 years",23
"2000","Fourth child or more","40-44 years","60-69 years",1
"2000","Fourth child or more","40-44 years","70 years or more",0
"2000","Fourth child or more","40-44 years","Unknown",0
"2000","Fourth child or more","45-49 years","Less than 20 years",0
"2000","Fourth child or more","45-49 years","20-24 years",0
"2000","Fourth child or more","45-49 years","25-29 years",0
"2000","Fourth child or more","45-49 years","30-34 years",0
"2000","Fourth child or more","45-49 years","35-39 years",1
"2000","Fourth child or more","45-49 years","40-44 years",2
"2000","Fourth child or more","45-49 years","45-49 years",9
"2000","Fourth child or more","45-49 years","50-59 years",7
"2000","Fourth child or more","45-49 years","60-69 years",0
"2000","Fourth child or more","45-49 years","70 years or more",0
"2000","Fourth child or more","45-49 years","Unknown",0
"2000","Fourth child or more","50 years or more","Less than 20 years",0
"2000","Fourth child or more","50 years or more","20-24 years",0
"2000","Fourth child or more","50 years or more","25-29 years",0
"2000","Fourth child or more","50 years or more","30-34 years",0
"2000","Fourth child or more","50 years or more","35-39 years",0
"2000","Fourth child or more","50 years or more","40-44 years",0
"2000","Fourth child or more","50 years or more","45-49 years",1
"2000","Fourth child or more","50 years or more","50-59 years",0
"2000","Fourth child or more","50 years or more","60-69 years",0
"2000","Fourth child or more","50 years or more","70 years or more",0
"2000","Fourth child or more","50 years or more","Unknown",0
"2000","Mother not married","Less than 20 years","Less than 20 years",0
"2000","Mother not married","Less than 20 years","20-24 years",0
"2000","Mother not married","Less than 20 years","25-29 years",0
"2000","Mother not married","Less than 20 years","30-34 years",0
"2000","Mother not married","Less than 20 years","35-39 years",0
"2000","Mother not married","Less than 20 years","40-44 years",0
"2000","Mother not married","Less than 20 years","45-49 years",0
"2000","Mother not married","Less than 20 years","50-59 years",0
"2000","Mother not married","Less than 20 years","60-69 years",0
"2000","Mother not married","Less than 20 years","70 years or more",0
"2000","Mother not married","Less than 20 years","Unknown",423
"2000","Mother not married","20-24 years","Less than 20 years",0
"2000","Mother not married","20-24 years","20-24 years",0
"2000","Mother not married","20-24 years","25-29 years",0
"2000","Mother not married","20-24 years","30-34 years",0
"2000","Mother not married","20-24 years","35-39 years",0
"2000","Mother not married","20-24 years","40-44 years",0
"2000","Mother not married","20-24 years","45-49 years",0
"2000","Mother not married","20-24 years","50-59 years",0
"2000","Mother not married","20-24 years","60-69 years",0
"2000","Mother not married","20-24 years","70 years or more",0
"2000","Mother not married","20-24 years","Unknown",1634
"2000","Mother not married","25-29 years","Less than 20 years",0
"2000","Mother not married","25-29 years","20-24 years",0
"2000","Mother not married","25-29 years","25-29 years",0
"2000","Mother not married","25-29 years","30-34 years",0
"2000","Mother not married","25-29 years","35-39 years",0
"2000","Mother not married","25-29 years","40-44 years",0
"2000","Mother not married","25-29 years","45-49 years",0
"2000","Mother not married","25-29 years","50-59 years",0
"2000","Mother not married","25-29 years","60-69 years",0
"2000","Mother not married","25-29 years","70 years or more",0
"2000","Mother not married","25-29 years","Unknown",2134
"2000","Mother not married","30-34 years","Less than 20 years",0
"2000","Mother not married","30-34 years","20-24 years",0
"2000","Mother not married","30-34 years","25-29 years",0
"2000","Mother not married","30-34 years","30-34 years",0
"2000","Mother not married","30-34 years","35-39 years",0
"2000","Mother not married","30-34 years","40-44 years",0
"2000","Mother not married","30-34 years","45-49 years",0
"2000","Mother not married","30-34 years","50-59 years",0
"2000","Mother not married","30-34 years","60-69 years",0
"2000","Mother not married","30-34 years","70 years or more",0
"2000","Mother not married","30-34 years","Unknown",2357
"2000","Mother not married","35-39 years","Less than 20 years",0
"2000","Mother not married","35-39 years","20-24 years",0
"2000","Mother not married","35-39 years","25-29 years",0
"2000","Mother not married","35-39 years","30-34 years",0
"2000","Mother not married","35-39 years","35-39 years",0
"2000","Mother not married","35-39 years","40-44 years",0
"2000","Mother not married","35-39 years","45-49 years",0
"2000","Mother not married","35-39 years","50-59 years",0
"2000","Mother not married","35-39 years","60-69 years",0
"2000","Mother not married","35-39 years","70 years or more",0
"2000","Mother not married","35-39 years","Unknown",1497
"2000","Mother not married","40-44 years","Less than 20 years",0
"2000","Mother not married","40-44 years","20-24 years",0
"2000","Mother not married","40-44 years","25-29 years",0
"2000","Mother not married","40-44 years","30-34 years",0
"2000","Mother not married","40-44 years","35-39 years",0
"2000","Mother not married","40-44 years","40-44 years",0
"2000","Mother not married","40-44 years","45-49 years",0
"2000","Mother not married","40-44 years","50-59 years",0
"2000","Mother not married","40-44 years","60-69 years",0
"2000","Mother not married","40-44 years","70 years or more",0
"2000","Mother not married","40-44 years","Unknown",324
"2000","Mother not married","45-49 years","Less than 20 years",0
"2000","Mother not married","45-49 years","20-24 years",0
"2000","Mother not married","45-49 years","25-29 years",0
"2000","Mother not married","45-49 years","30-34 years",0
"2000","Mother not married","45-49 years","35-39 years",0
"2000","Mother not married","45-49 years","40-44 years",0
"2000","Mother not married","45-49 years","45-49 years",0
"2000","Mother not married","45-49 years","50-59 years",0
"2000","Mother not married","45-49 years","60-69 years",0
"2000","Mother not married","45-49 years","70 years or more",0
"2000","Mother not married","45-49 years","Unknown",19
"2000","Mother not married","50 years or more","Less than 20 years",0
"2000","Mother not married","50 years or more","20-24 years",0
"2000","Mother not married","50 years or more","25-29 years",0
"2000","Mother not married","50 years or more","30-34 years",0
"2000","Mother not married","50 years or more","35-39 years",0
"2000","Mother not married","50 years or more","40-44 years",0
"2000","Mother not married","50 years or more","45-49 years",0
"2000","Mother not married","50 years or more","50-59 years",0
"2000","Mother not married","50 years or more","60-69 years",0
"2000","Mother not married","50 years or more","70 years or more",0
"2000","Mother not married","50 years or more","Unknown",1
"2001","First child","Less than 20 years","Less than 20 years",12
"2001","First child","Less than 20 years","20-24 years",201
"2001","First child","Less than 20 years","25-29 years",91
"2001","First child","Less than 20 years","30-34 years",20
"2001","First child","Less than 20 years","35-39 years",3
"2001","First child","Less than 20 years","40-44 years",2
"2001","First child","Less than 20 years","45-49 years",1
"2001","First child","Less than 20 years","50-59 years",0
"2001","First child","Less than 20 years","60-69 years",0
"2001","First child","Less than 20 years","70 years or more",0
"2001","First child","Less than 20 years","Unknown",0
"2001","First child","20-24 years","Less than 20 years",16
"2001","First child","20-24 years","20-24 years",1456
"2001","First child","20-24 years","25-29 years",1876
"2001","First child","20-24 years","30-34 years",773
"2001","First child","20-24 years","35-39 years",237
"2001","First child","20-24 years","40-44 years",75
"2001","First child","20-24 years","45-49 years",32
"2001","First child","20-24 years","50-59 years",15
"2001","First child","20-24 years","60-69 years",0
"2001","First child","20-24 years","70 years or more",0
"2001","First child","20-24 years","Unknown",0
"2001","First child","25-29 years","Less than 20 years",2
"2001","First child","25-29 years","20-24 years",315
"2001","First child","25-29 years","25-29 years",3658
"2001","First child","25-29 years","30-34 years",4052
"2001","First child","25-29 years","35-39 years",1235
"2001","First child","25-29 years","40-44 years",336
"2001","First child","25-29 years","45-49 years",86
"2001","First child","25-29 years","50-59 years",69
"2001","First child","25-29 years","60-69 years",7
"2001","First child","25-29 years","70 years or more",1
"2001","First child","25-29 years","Unknown",0
"2001","First child","30-34 years","Less than 20 years",0
"2001","First child","30-34 years","20-24 years",56
"2001","First child","30-34 years","25-29 years",991
"2001","First child","30-34 years","30-34 years",4991
"2001","First child","30-34 years","35-39 years",3088
"2001","First child","30-34 years","40-44 years",802
"2001","First child","30-34 years","45-49 years",193
"2001","First child","30-34 years","50-59 years",104
"2001","First child","30-34 years","60-69 years",16
"2001","First child","30-34 years","70 years or more",4
"2001","First child","30-34 years","Unknown",0
"2001","First child","35-39 years","Less than 20 years",0
"2001","First child","35-39 years","20-24 years",11
"2001","First child","35-39 years","25-29 years",167
"2001","First child","35-39 years","30-34 years",893
"2001","First child","35-39 years","35-39 years",1743
"2001","First child","35-39 years","40-44 years",741
"2001","First child","35-39 years","45-49 years",215
"2001","First child","35-39 years","50-59 years",97
"2001","First child","35-39 years","60-69 years",9
"2001","First child","35-39 years","70 years or more",2
"2001","First child","35-39 years","Unknown",0
"2001","First child","40-44 years","Less than 20 years",0
"2001","First child","40-44 years","20-24 years",3
"2001","First child","40-44 years","25-29 years",19
"2001","First child","40-44 years","30-34 years",72
"2001","First child","40-44 years","35-39 years",139
"2001","First child","40-44 years","40-44 years",209
"2001","First child","40-44 years","45-49 years",95
"2001","First child","40-44 years","50-59 years",46
"2001","First child","40-44 years","60-69 years",6
"2001","First child","40-44 years","70 years or more",2
"2001","First child","40-44 years","Unknown",0
"2001","First child","45-49 years","Less than 20 years",0
"2001","First child","45-49 years","20-24 years",1
"2001","First child","45-49 years","25-29 years",0
"2001","First child","45-49 years","30-34 years",4
"2001","First child","45-49 years","35-39 years",6
"2001","First child","45-49 years","40-44 years",8
"2001","First child","45-49 years","45-49 years",6
"2001","First child","45-49 years","50-59 years",4
"2001","First child","45-49 years","60-69 years",1
"2001","First child","45-49 years","70 years or more",0
"2001","First child","45-49 years","Unknown",0
"2001","First child","50 years or more","Less than 20 years",0
"2001","First child","50 years or more","20-24 years",0
"2001","First child","50 years or more","25-29 years",0
"2001","First child","50 years or more","30-34 years",0
"2001","First child","50 years or more","35-39 years",0
"2001","First child","50 years or more","40-44 years",1
"2001","First child","50 years or more","45-49 years",0
"2001","First child","50 years or more","50-59 years",1
"2001","First child","50 years or more","60-69 years",0
"2001","First child","50 years or more","70 years or more",0
"2001","First child","50 years or more","Unknown",0
"2001","Second child","Less than 20 years","Less than 20 years",1
"2001","Second child","Less than 20 years","20-24 years",5
"2001","Second child","Less than 20 years","25-29 years",7
"2001","Second child","Less than 20 years","30-34 years",3
"2001","Second child","Less than 20 years","35-39 years",1
"2001","Second child","Less than 20 years","40-44 years",0
"2001","Second child","Less than 20 years","45-49 years",0
"2001","Second child","Less than 20 years","50-59 years",0
"2001","Second child","Less than 20 years","60-69 years",0
"2001","Second child","Less than 20 years","70 years or more",0
"2001","Second child","Less than 20 years","Unknown",0
"2001","Second child","20-24 years","Less than 20 years",0
"2001","Second child","20-24 years","20-24 years",340
"2001","Second child","20-24 years","25-29 years",790
"2001","Second child","20-24 years","30-34 years",305
"2001","Second child","20-24 years","35-39 years",115
"2001","Second child","20-24 years","40-44 years",24
"2001","Second child","20-24 years","45-49 years",7
"2001","Second child","20-24 years","50-59 years",2
"2001","Second child","20-24 years","60-69 years",0
"2001","Second child","20-24 years","70 years or more",0
"2001","Second child","20-24 years","Unknown",0
"2001","Second child","25-29 years","Less than 20 years",0
"2001","Second child","25-29 years","20-24 years",100
"2001","Second child","25-29 years","25-29 years",2113
"2001","Second child","25-29 years","30-34 years",3018
"2001","Second child","25-29 years","35-39 years",1036
"2001","Second child","25-29 years","40-44 years",212
"2001","Second child","25-29 years","45-49 years",51
"2001","Second child","25-29 years","50-59 years",27
"2001","Second child","25-29 years","60-69 years",0
"2001","Second child","25-29 years","70 years or more",0
"2001","Second child","25-29 years","Unknown",0
"2001","Second child","30-34 years","Less than 20 years",0
"2001","Second child","30-34 years","20-24 years",4
"2001","Second child","30-34 years","25-29 years",547
"2001","Second child","30-34 years","30-34 years",5092
"2001","Second child","30-34 years","35-39 years",3790
"2001","Second child","30-34 years","40-44 years",802
"2001","Second child","30-34 years","45-49 years",204
"2001","Second child","30-34 years","50-59 years",79
"2001","Second child","30-34 years","60-69 years",5
"2001","Second child","30-34 years","70 years or more",0
"2001","Second child","30-34 years","Unknown",0
"2001","Second child","35-39 years","Less than 20 years",0
"2001","Second child","35-39 years","20-24 years",5
"2001","Second child","35-39 years","25-29 years",96
"2001","Second child","35-39 years","30-34 years",945
"2001","Second child","35-39 years","35-39 years",2573
"2001","Second child","35-39 years","40-44 years",1091
"2001","Second child","35-39 years","45-49 years",232
"2001","Second child","35-39 years","50-59 years",76
"2001","Second child","35-39 years","60-69 years",6
"2001","Second child","35-39 years","70 years or more",2
"2001","Second child","35-39 years","Unknown",0
"2001","Second child","40-44 years","Less than 20 years",0
"2001","Second child","40-44 years","20-24 years",2
"2001","Second child","40-44 years","25-29 years",7
"2001","Second child","40-44 years","30-34 years",64
"2001","Second child","40-44 years","35-39 years",236
"2001","Second child","40-44 years","40-44 years",258
"2001","Second child","40-44 years","45-49 years",110
"2001","Second child","40-44 years","50-59 years",54
"2001","Second child","40-44 years","60-69 years",4
"2001","Second child","40-44 years","70 years or more",0
"2001","Second child","40-44 years","Unknown",0
"2001","Second child","45-49 years","Less than 20 years",0
"2001","Second child","45-49 years","20-24 years",0
"2001","Second child","45-49 years","25-29 years",0
"2001","Second child","45-49 years","30-34 years",2
"2001","Second child","45-49 years","35-39 years",3
"2001","Second child","45-49 years","40-44 years",6
"2001","Second child","45-49 years","45-49 years",3
"2001","Second child","45-49 years","50-59 years",3
"2001","Second child","45-49 years","60-69 years",1
"2001","Second child","45-49 years","70 years or more",0
"2001","Second child","45-49 years","Unknown",0
"2001","Second child","50 years or more","Less than 20 years",0
