"Year","Sex of child","Birth order","Citizenship of mother","Marital status of mother","Age class of mother","Less than 20 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-59 years","60-69 years","70 years or more","Unknown"
"2000","Boy","Mother not married","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,226
"2000","Boy","Mother not married","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,840
"2000","Boy","Mother not married","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,1096
"2000","Boy","Mother not married","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,1215
"2000","Boy","Mother not married","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,753
"2000","Boy","Mother not married","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,177
"2000","Boy","Mother not married","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,11
"2000","Boy","Mother not married","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,1
"2000","Girl","First child","Citizenship of mother - total","Married","Less than 20 years",7,108,48,18,5,0,0,0,1,0,0
"2000","Girl","First child","Citizenship of mother - total","Married","20-24 years",12,699,1040,384,136,31,15,6,1,1,0
"2000","Girl","First child","Citizenship of mother - total","Married","25-29 years",0,144,1977,2252,663,186,56,21,5,0,0
"2000","Girl","First child","Citizenship of mother - total","Married","30-34 years",0,29,573,2598,1477,410,103,48,6,1,0
"2000","Girl","First child","Citizenship of mother - total","Married","35-39 years",0,5,99,463,764,362,113,48,4,1,0
"2000","Girl","First child","Citizenship of mother - total","Married","40-44 years",0,0,8,39,89,97,45,17,3,1,0
"2000","Girl","First child","Citizenship of mother - total","Married","45-49 years",0,0,0,1,2,4,1,1,0,0,0
"2000","Girl","First child","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","First child","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","First child","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","First child","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","First child","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","First child","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","First child","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","First child","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","First child","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Married","Less than 20 years",0,4,11,2,1,0,0,0,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Married","20-24 years",1,177,415,198,44,25,2,0,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Married","25-29 years",0,58,1146,1696,528,113,32,11,1,0,0
"2000","Girl","Second child","Citizenship of mother - total","Married","30-34 years",0,7,335,2745,2071,383,95,41,4,0,0
"2000","Girl","Second child","Citizenship of mother - total","Married","35-39 years",0,1,40,488,1238,504,102,43,7,0,0
"2000","Girl","Second child","Citizenship of mother - total","Married","40-44 years",0,0,6,24,104,147,49,20,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Married","45-49 years",0,0,0,1,3,5,2,3,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Second child","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Married","Less than 20 years",0,0,1,0,0,0,0,0,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Married","20-24 years",0,25,49,29,12,2,1,0,1,0,0
"2000","Girl","Third child","Citizenship of mother - total","Married","25-29 years",0,8,243,462,167,33,5,3,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Married","30-34 years",0,1,80,871,790,184,35,9,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Married","35-39 years",0,0,6,137,602,315,64,21,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Married","40-44 years",0,0,0,7,31,64,24,13,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Married","45-49 years",0,0,0,0,1,2,1,1,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Third child","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Married","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Married","20-24 years",0,0,5,3,0,1,0,0,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Married","25-29 years",0,0,28,108,41,8,1,0,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Married","30-34 years",0,0,7,231,287,87,12,6,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Married","35-39 years",0,0,1,52,287,179,35,5,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Married","40-44 years",0,0,1,4,20,71,28,7,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Married","45-49 years",0,0,0,0,1,1,4,4,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Fourth child or more","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Mother not married","Citizenship of mother - total","Married","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Mother not married","Citizenship of mother - total","Married","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Mother not married","Citizenship of mother - total","Married","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Mother not married","Citizenship of mother - total","Married","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Mother not married","Citizenship of mother - total","Married","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Mother not married","Citizenship of mother - total","Married","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Mother not married","Citizenship of mother - total","Married","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Mother not married","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Girl","Mother not married","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,197
"2000","Girl","Mother not married","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,794
"2000","Girl","Mother not married","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,1038
"2000","Girl","Mother not married","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,1142
"2000","Girl","Mother not married","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,744
"2000","Girl","Mother not married","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,147
"2000","Girl","Mother not married","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,8
"2000","Girl","Mother not married","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","First child","Citizenship of mother - total","Married","Less than 20 years",8,100,42,11,1,1,0,0,0,0,0
"2001","Boy","First child","Citizenship of mother - total","Married","20-24 years",5,760,994,405,117,39,19,4,0,0,0
"2001","Boy","First child","Citizenship of mother - total","Married","25-29 years",1,166,1898,2065,616,178,46,37,5,1,0
"2001","Boy","First child","Citizenship of mother - total","Married","30-34 years",0,29,493,2535,1573,392,98,57,12,3,0
"2001","Boy","First child","Citizenship of mother - total","Married","35-39 years",0,4,82,461,871,379,111,51,6,0,0
"2001","Boy","First child","Citizenship of mother - total","Married","40-44 years",0,1,10,47,73,94,48,27,4,0,0
"2001","Boy","First child","Citizenship of mother - total","Married","45-49 years",0,1,0,2,3,3,4,1,1,0,0
"2001","Boy","First child","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","First child","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","First child","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","First child","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","First child","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","First child","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","First child","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","First child","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","First child","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Second child","Citizenship of mother - total","Married","Less than 20 years",0,3,3,3,0,0,0,0,0,0,0
"2001","Boy","Second child","Citizenship of mother - total","Married","20-24 years",0,175,376,154,64,11,3,0,0,0,0
"2001","Boy","Second child","Citizenship of mother - total","Married","25-29 years",0,53,1115,1564,522,108,22,14,0,0,0
"2001","Boy","Second child","Citizenship of mother - total","Married","30-34 years",0,2,309,2623,1957,420,103,42,2,0,0
"2001","Boy","Second child","Citizenship of mother - total","Married","35-39 years",0,1,49,487,1290,564,120,45,2,1,0
"2001","Boy","Second child","Citizenship of mother - total","Married","40-44 years",0,1,5,36,113,135,59,29,1,0,0
"2001","Boy","Second child","Citizenship of mother - total","Married","45-49 years",0,0,0,1,2,6,2,1,1,0,0
"2001","Boy","Second child","Citizenship of mother - total","Married","50 years or more",0,0,0,1,0,1,0,2,0,0,0
"2001","Boy","Second child","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Second child","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Second child","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Second child","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Second child","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Second child","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Second child","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Second child","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Third child","Citizenship of mother - total","Married","Less than 20 years",0,1,0,0,0,0,0,0,0,0,0
"2001","Boy","Third child","Citizenship of mother - total","Married","20-24 years",0,7,55,21,3,2,0,0,0,0,0
"2001","Boy","Third child","Citizenship of mother - total","Married","25-29 years",1,6,218,389,132,32,10,1,1,0,0
"2001","Boy","Third child","Citizenship of mother - total","Married","30-34 years",0,0,48,774,733,170,28,20,2,0,0
"2001","Boy","Third child","Citizenship of mother - total","Married","35-39 years",0,0,10,152,630,302,59,26,2,0,0
"2001","Boy","Third child","Citizenship of mother - total","Married","40-44 years",0,0,1,9,39,99,24,10,1,0,0
"2001","Boy","Third child","Citizenship of mother - total","Married","45-49 years",0,0,0,0,1,0,3,1,0,0,0
"2001","Boy","Third child","Citizenship of mother - total","Married","50 years or more",0,0,0,0,1,1,0,0,0,0,0
"2001","Boy","Third child","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Third child","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Third child","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Third child","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Third child","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Third child","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Third child","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Third child","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Married","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Married","20-24 years",0,4,6,5,0,0,0,0,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Married","25-29 years",0,2,42,64,35,4,2,2,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Married","30-34 years",0,0,11,167,269,76,17,3,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Married","35-39 years",0,0,0,31,251,162,37,9,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Married","40-44 years",0,0,0,2,18,69,32,7,2,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Married","45-49 years",0,0,0,0,1,0,2,4,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,0,0,1,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Fourth child or more","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Mother not married","Citizenship of mother - total","Married","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Mother not married","Citizenship of mother - total","Married","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Mother not married","Citizenship of mother - total","Married","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Mother not married","Citizenship of mother - total","Married","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Mother not married","Citizenship of mother - total","Married","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Mother not married","Citizenship of mother - total","Married","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Mother not married","Citizenship of mother - total","Married","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Mother not married","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2001","Boy","Mother not married","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,215
"2001","Boy","Mother not married","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,763
"2001","Boy","Mother not married","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,1035
"2001","Boy","Mother not married","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,1226
"2001","Boy","Mother not married","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,717
"2001","Boy","Mother not married","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,199
"2001","Boy","Mother not married","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,8
"2001","Boy","Mother not married","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2001","Girl","First child","Citizenship of mother - total","Married","Less than 20 years",4,101,49,9,2,1,1,0,0,0,0
"2001","Girl","First child","Citizenship of mother - total","Married","20-24 years",11,696,882,368,120,36,13,11,0,0,0
"2001","Girl","First child","Citizenship of mother - total","Married","25-29 years",1,149,1760,1987,619,158,40,32,2,0,0
"2001","Girl","First child","Citizenship of mother - total","Married","30-34 years",0,27,498,2456,1515,410,95,47,4,1,0
"2001","Girl","First child","Citizenship of mother - total","Married","35-39 years",0,7,85,432,872,362,104,46,3,2,0
"2001","Girl","First child","Citizenship of mother - total","Married","40-44 years",0,2,9,25,66,115,47,19,2,2,0
"2001","Girl","First child","Citizenship of mother - total","Married","45-49 years",0,0,0,2,3,5,2,3,0,0,0
"2001","Girl","First child","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,1,0,1,0,0,0
"2001","Girl","First child","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
