"Tipo di popolazione","Anno","Età","Sesso","Stato civile","Popolazione residente permanente e non permanente"
"Popolazione residente permanente","2010","9 anni","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","9 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","9 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","9 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","9 anni","Donna","Celibe/nubile",37392
"Popolazione residente permanente","2010","9 anni","Donna","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","9 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","9 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","9 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","10 anni","Uomo","Celibe/nubile",42141
"Popolazione residente permanente","2010","10 anni","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","10 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","10 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","10 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","10 anni","Donna","Celibe/nubile",39722
"Popolazione residente permanente","2010","10 anni","Donna","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","10 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","10 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","10 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","11 anni","Uomo","Celibe/nubile",41730
"Popolazione residente permanente","2010","11 anni","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","11 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","11 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","11 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","11 anni","Donna","Celibe/nubile",39821
"Popolazione residente permanente","2010","11 anni","Donna","Coniugato, in unione domestica registrata",1
"Popolazione residente permanente","2010","11 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","11 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","11 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","12 anni","Uomo","Celibe/nubile",42539
"Popolazione residente permanente","2010","12 anni","Uomo","Coniugato, in unione domestica registrata",1
"Popolazione residente permanente","2010","12 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","12 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","12 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","12 anni","Donna","Celibe/nubile",40337
"Popolazione residente permanente","2010","12 anni","Donna","Coniugato, in unione domestica registrata",1
"Popolazione residente permanente","2010","12 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","12 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","12 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","13 anni","Uomo","Celibe/nubile",43096
"Popolazione residente permanente","2010","13 anni","Uomo","Coniugato, in unione domestica registrata",1
"Popolazione residente permanente","2010","13 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","13 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","13 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","13 anni","Donna","Celibe/nubile",41066
"Popolazione residente permanente","2010","13 anni","Donna","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","13 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","13 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","13 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","14 anni","Uomo","Celibe/nubile",44427
"Popolazione residente permanente","2010","14 anni","Uomo","Coniugato, in unione domestica registrata",1
"Popolazione residente permanente","2010","14 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","14 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","14 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","14 anni","Donna","Celibe/nubile",42247
"Popolazione residente permanente","2010","14 anni","Donna","Coniugato, in unione domestica registrata",2
"Popolazione residente permanente","2010","14 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","14 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","14 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","15 anni","Uomo","Celibe/nubile",44190
"Popolazione residente permanente","2010","15 anni","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","15 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","15 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","15 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","15 anni","Donna","Celibe/nubile",42142
"Popolazione residente permanente","2010","15 anni","Donna","Coniugato, in unione domestica registrata",2
"Popolazione residente permanente","2010","15 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","15 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","15 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","16 anni","Uomo","Celibe/nubile",45061
"Popolazione residente permanente","2010","16 anni","Uomo","Coniugato, in unione domestica registrata",1
"Popolazione residente permanente","2010","16 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","16 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","16 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","16 anni","Donna","Celibe/nubile",42683
"Popolazione residente permanente","2010","16 anni","Donna","Coniugato, in unione domestica registrata",2
"Popolazione residente permanente","2010","16 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","16 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","16 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","17 anni","Uomo","Celibe/nubile",45703
"Popolazione residente permanente","2010","17 anni","Uomo","Coniugato, in unione domestica registrata",1
"Popolazione residente permanente","2010","17 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","17 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","17 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","17 anni","Donna","Celibe/nubile",43333
"Popolazione residente permanente","2010","17 anni","Donna","Coniugato, in unione domestica registrata",47
"Popolazione residente permanente","2010","17 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","17 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","17 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","18 anni","Uomo","Celibe/nubile",47664
"Popolazione residente permanente","2010","18 anni","Uomo","Coniugato, in unione domestica registrata",14
"Popolazione residente permanente","2010","18 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","18 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",1
"Popolazione residente permanente","2010","18 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","18 anni","Donna","Celibe/nubile",45346
"Popolazione residente permanente","2010","18 anni","Donna","Coniugato, in unione domestica registrata",258
"Popolazione residente permanente","2010","18 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","18 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","18 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","19 anni","Uomo","Celibe/nubile",48626
"Popolazione residente permanente","2010","19 anni","Uomo","Coniugato, in unione domestica registrata",115
"Popolazione residente permanente","2010","19 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","19 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3
"Popolazione residente permanente","2010","19 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","19 anni","Donna","Celibe/nubile",45453
"Popolazione residente permanente","2010","19 anni","Donna","Coniugato, in unione domestica registrata",972
"Popolazione residente permanente","2010","19 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","19 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",2
"Popolazione residente permanente","2010","19 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","20 anni","Uomo","Celibe/nubile",48615
"Popolazione residente permanente","2010","20 anni","Uomo","Coniugato, in unione domestica registrata",375
"Popolazione residente permanente","2010","20 anni","Uomo","Vedovo, unione domestica sciolta per decesso",2
"Popolazione residente permanente","2010","20 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3
"Popolazione residente permanente","2010","20 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","20 anni","Donna","Celibe/nubile",45070
"Popolazione residente permanente","2010","20 anni","Donna","Coniugato, in unione domestica registrata",2058
"Popolazione residente permanente","2010","20 anni","Donna","Vedovo, unione domestica sciolta per decesso",1
"Popolazione residente permanente","2010","20 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",22
"Popolazione residente permanente","2010","20 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","21 anni","Uomo","Celibe/nubile",47987
"Popolazione residente permanente","2010","21 anni","Uomo","Coniugato, in unione domestica registrata",854
"Popolazione residente permanente","2010","21 anni","Uomo","Vedovo, unione domestica sciolta per decesso",2
"Popolazione residente permanente","2010","21 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",12
"Popolazione residente permanente","2010","21 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","21 anni","Donna","Celibe/nubile",43742
"Popolazione residente permanente","2010","21 anni","Donna","Coniugato, in unione domestica registrata",3260
"Popolazione residente permanente","2010","21 anni","Donna","Vedovo, unione domestica sciolta per decesso",4
"Popolazione residente permanente","2010","21 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",55
"Popolazione residente permanente","2010","21 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","22 anni","Uomo","Celibe/nubile",47605
"Popolazione residente permanente","2010","22 anni","Uomo","Coniugato, in unione domestica registrata",1892
"Popolazione residente permanente","2010","22 anni","Uomo","Vedovo, unione domestica sciolta per decesso",7
"Popolazione residente permanente","2010","22 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",36
"Popolazione residente permanente","2010","22 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","22 anni","Donna","Celibe/nubile",42908
"Popolazione residente permanente","2010","22 anni","Donna","Coniugato, in unione domestica registrata",5144
"Popolazione residente permanente","2010","22 anni","Donna","Vedovo, unione domestica sciolta per decesso",6
"Popolazione residente permanente","2010","22 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",92
"Popolazione residente permanente","2010","22 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","23 anni","Uomo","Celibe/nubile",45740
"Popolazione residente permanente","2010","23 anni","Uomo","Coniugato, in unione domestica registrata",2922
"Popolazione residente permanente","2010","23 anni","Uomo","Vedovo, unione domestica sciolta per decesso",8
"Popolazione residente permanente","2010","23 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",56
"Popolazione residente permanente","2010","23 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","23 anni","Donna","Celibe/nubile",40491
"Popolazione residente permanente","2010","23 anni","Donna","Coniugato, in unione domestica registrata",6920
"Popolazione residente permanente","2010","23 anni","Donna","Vedovo, unione domestica sciolta per decesso",8
"Popolazione residente permanente","2010","23 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",184
"Popolazione residente permanente","2010","23 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","24 anni","Uomo","Celibe/nubile",45542
"Popolazione residente permanente","2010","24 anni","Uomo","Coniugato, in unione domestica registrata",4365
"Popolazione residente permanente","2010","24 anni","Uomo","Vedovo, unione domestica sciolta per decesso",16
"Popolazione residente permanente","2010","24 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",114
"Popolazione residente permanente","2010","24 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","24 anni","Donna","Celibe/nubile",39524
"Popolazione residente permanente","2010","24 anni","Donna","Coniugato, in unione domestica registrata",9013
"Popolazione residente permanente","2010","24 anni","Donna","Vedovo, unione domestica sciolta per decesso",12
"Popolazione residente permanente","2010","24 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",314
"Popolazione residente permanente","2010","24 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","25 anni","Uomo","Celibe/nubile",44220
"Popolazione residente permanente","2010","25 anni","Uomo","Coniugato, in unione domestica registrata",6185
"Popolazione residente permanente","2010","25 anni","Uomo","Vedovo, unione domestica sciolta per decesso",14
"Popolazione residente permanente","2010","25 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",183
"Popolazione residente permanente","2010","25 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","25 anni","Donna","Celibe/nubile",37791
"Popolazione residente permanente","2010","25 anni","Donna","Coniugato, in unione domestica registrata",11415
"Popolazione residente permanente","2010","25 anni","Donna","Vedovo, unione domestica sciolta per decesso",13
"Popolazione residente permanente","2010","25 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",447
"Popolazione residente permanente","2010","25 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","26 anni","Uomo","Celibe/nubile",43515
"Popolazione residente permanente","2010","26 anni","Uomo","Coniugato, in unione domestica registrata",8423
"Popolazione residente permanente","2010","26 anni","Uomo","Vedovo, unione domestica sciolta per decesso",8
"Popolazione residente permanente","2010","26 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",267
"Popolazione residente permanente","2010","26 anni","Uomo","Senza indicazione",1
"Popolazione residente permanente","2010","26 anni","Donna","Celibe/nubile",36027
"Popolazione residente permanente","2010","26 anni","Donna","Coniugato, in unione domestica registrata",13896
"Popolazione residente permanente","2010","26 anni","Donna","Vedovo, unione domestica sciolta per decesso",19
"Popolazione residente permanente","2010","26 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",738
"Popolazione residente permanente","2010","26 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","27 anni","Uomo","Celibe/nubile",41367
"Popolazione residente permanente","2010","27 anni","Uomo","Coniugato, in unione domestica registrata",10595
"Popolazione residente permanente","2010","27 anni","Uomo","Vedovo, unione domestica sciolta per decesso",7
"Popolazione residente permanente","2010","27 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",454
"Popolazione residente permanente","2010","27 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","27 anni","Donna","Celibe/nubile",33537
"Popolazione residente permanente","2010","27 anni","Donna","Coniugato, in unione domestica registrata",16593
"Popolazione residente permanente","2010","27 anni","Donna","Vedovo, unione domestica sciolta per decesso",44
"Popolazione residente permanente","2010","27 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",965
"Popolazione residente permanente","2010","27 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","28 anni","Uomo","Celibe/nubile",40291
"Popolazione residente permanente","2010","28 anni","Uomo","Coniugato, in unione domestica registrata",12991
"Popolazione residente permanente","2010","28 anni","Uomo","Vedovo, unione domestica sciolta per decesso",11
"Popolazione residente permanente","2010","28 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",620
"Popolazione residente permanente","2010","28 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","28 anni","Donna","Celibe/nubile",31990
"Popolazione residente permanente","2010","28 anni","Donna","Coniugato, in unione domestica registrata",19907
"Popolazione residente permanente","2010","28 anni","Donna","Vedovo, unione domestica sciolta per decesso",38
"Popolazione residente permanente","2010","28 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",1204
"Popolazione residente permanente","2010","28 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","29 anni","Uomo","Celibe/nubile",38044
"Popolazione residente permanente","2010","29 anni","Uomo","Coniugato, in unione domestica registrata",15551
"Popolazione residente permanente","2010","29 anni","Uomo","Vedovo, unione domestica sciolta per decesso",13
"Popolazione residente permanente","2010","29 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",755
"Popolazione residente permanente","2010","29 anni","Uomo","Senza indicazione",1
"Popolazione residente permanente","2010","29 anni","Donna","Celibe/nubile",29045
"Popolazione residente permanente","2010","29 anni","Donna","Coniugato, in unione domestica registrata",22577
"Popolazione residente permanente","2010","29 anni","Donna","Vedovo, unione domestica sciolta per decesso",58
"Popolazione residente permanente","2010","29 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",1532
"Popolazione residente permanente","2010","29 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","30 anni","Uomo","Celibe/nubile",35651
"Popolazione residente permanente","2010","30 anni","Uomo","Coniugato, in unione domestica registrata",18539
"Popolazione residente permanente","2010","30 anni","Uomo","Vedovo, unione domestica sciolta per decesso",22
"Popolazione residente permanente","2010","30 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",968
"Popolazione residente permanente","2010","30 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","30 anni","Donna","Celibe/nubile",26491
"Popolazione residente permanente","2010","30 anni","Donna","Coniugato, in unione domestica registrata",25549
"Popolazione residente permanente","2010","30 anni","Donna","Vedovo, unione domestica sciolta per decesso",78
"Popolazione residente permanente","2010","30 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",1835
"Popolazione residente permanente","2010","30 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","31 anni","Uomo","Celibe/nubile",31893
"Popolazione residente permanente","2010","31 anni","Uomo","Coniugato, in unione domestica registrata",20440
"Popolazione residente permanente","2010","31 anni","Uomo","Vedovo, unione domestica sciolta per decesso",14
"Popolazione residente permanente","2010","31 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",1251
"Popolazione residente permanente","2010","31 anni","Uomo","Senza indicazione",1
"Popolazione residente permanente","2010","31 anni","Donna","Celibe/nubile",23383
"Popolazione residente permanente","2010","31 anni","Donna","Coniugato, in unione domestica registrata",27704
"Popolazione residente permanente","2010","31 anni","Donna","Vedovo, unione domestica sciolta per decesso",81
"Popolazione residente permanente","2010","31 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",2146
"Popolazione residente permanente","2010","31 anni","Donna","Senza indicazione",1
"Popolazione residente permanente","2010","32 anni","Uomo","Celibe/nubile",28838
"Popolazione residente permanente","2010","32 anni","Uomo","Coniugato, in unione domestica registrata",22825
"Popolazione residente permanente","2010","32 anni","Uomo","Vedovo, unione domestica sciolta per decesso",26
